Time,q_x,q_y,q_z,q_w,chaser_x,chaser_y,chaser_z,U_thrust,V_thrust,W_thrust,is_thrusting
0.000000,0.577350,0.577350,0.577350,0.000000,6.363961,-12.727922,6.363961,-0.831377,0.526950,-0.176452,1.000000
0.720144,0.569951,0.584440,0.577012,-0.025366,6.359202,-12.737434,6.359202,-0.831017,0.527667,-0.176007,1.000000
1.440288,0.562268,0.591194,0.576002,-0.050651,6.354438,-12.746939,6.354438,-0.830651,0.528402,-0.175527,1.000000
2.160432,0.554308,0.597614,0.574327,-0.075828,6.349672,-12.756436,6.349672,-0.830279,0.529158,-0.175011,1.000000
2.880576,0.546066,0.603711,0.571984,-0.100893,6.344902,-12.765927,6.344902,-0.829940,0.529787,-0.174713,1.000000
3.600720,0.537533,0.609509,0.568961,-0.125857,6.340128,-12.775410,6.340128,-0.829608,0.530393,-0.174454,0.000000
4.320864,0.528712,0.615007,0.565262,-0.150698,6.335351,-12.784886,6.335351,-0.829275,0.530998,-0.174195,0.000000
5.041008,0.519603,0.620204,0.560890,-0.175390,6.330570,-12.794355,6.330570,-0.828942,0.531602,-0.173936,0.000000
5.761152,0.510211,0.625100,0.555851,-0.199910,6.325786,-12.803817,6.325786,-0.828609,0.532206,-0.173677,0.000000
6.481296,0.500537,0.629697,0.550150,-0.224232,6.320998,-12.813272,6.320998,-0.828276,0.532809,-0.173418,0.000000
7.201440,0.490585,0.633993,0.543792,-0.248334,6.316207,-12.822720,6.316207,-0.827942,0.533411,-0.173158,0.000000
7.921584,0.480356,0.637990,0.536786,-0.272191,6.311412,-12.832160,6.311412,-0.827609,0.534013,-0.172899,0.000000
8.641728,0.469855,0.641688,0.529139,-0.295779,6.306613,-12.841593,6.306613,-0.827275,0.534614,-0.172639,0.000000
9.361872,0.459084,0.645087,0.520860,-0.319075,6.301811,-12.851020,6.301811,-0.826941,0.535214,-0.172379,0.000000
10.082016,0.448049,0.648190,0.511957,-0.342056,6.297006,-12.860438,6.297006,-0.826607,0.535813,-0.172120,0.000000
10.802160,0.436751,0.650997,0.502440,-0.364699,6.292197,-12.869850,6.292197,-0.826273,0.536412,-0.171860,0.000000
11.522304,0.425196,0.653509,0.492321,-0.386982,6.287384,-12.879255,6.287384,-0.825938,0.537009,-0.171600,0.000000
12.242448,0.413387,0.655727,0.481609,-0.408883,6.282568,-12.888652,6.282568,-0.825604,0.537606,-0.171341,0.000000
12.962593,0.401328,0.657654,0.470317,-0.430381,6.277749,-12.898042,6.277749,-0.825269,0.538203,-0.171081,0.000000
13.682737,0.389025,0.659291,0.458458,-0.451454,6.272926,-12.907425,6.272926,-0.824934,0.538799,-0.170821,0.000000
14.402881,0.376482,0.660640,0.446044,-0.472082,6.268099,-12.916801,6.268099,-0.824599,0.539394,-0.170560,0.000000
15.123025,0.363704,0.661702,0.433088,-0.492244,6.263269,-12.926169,6.263269,-0.824264,0.539988,-0.170300,0.000000
15.843169,0.350695,0.662480,0.419606,-0.511922,6.258435,-12.935530,6.258435,-0.823928,0.540582,-0.170039,0.000000
16.563313,0.337461,0.662976,0.405613,-0.531094,6.253598,-12.944884,6.253598,-0.823593,0.541175,-0.169778,0.000000
17.283457,0.324007,0.663192,0.391123,-0.549744,6.248758,-12.954231,6.248758,-0.823257,0.541767,-0.169518,0.000000
18.003601,0.310339,0.663131,0.376154,-0.567851,6.243914,-12.963571,6.243914,-0.822921,0.542359,-0.169257,0.000000
18.723745,0.296463,0.662796,0.360720,-0.585399,6.239066,-12.972903,6.239066,-0.822585,0.542950,-0.168996,0.000000
19.443889,0.282384,0.662188,0.344840,-0.602371,6.234215,-12.982228,6.234215,-0.822249,0.543540,-0.168735,0.000000
20.164033,0.268109,0.661312,0.328531,-0.618750,6.229361,-12.991546,6.229361,-0.821912,0.544129,-0.168474,0.000000
20.884177,0.253644,0.660169,0.311811,-0.634520,6.224503,-13.000857,6.224503,-0.821576,0.544718,-0.168213,1.000000
21.604321,0.238996,0.658763,0.294699,-0.649665,6.219641,-13.010160,6.219641,-0.821239,0.545306,-0.167952,1.000000
22.324465,0.224169,0.657097,0.277215,-0.664171,6.214776,-13.019456,6.214776,-0.820902,0.545892,-0.167692,1.000000
23.044609,0.209171,0.655175,0.259377,-0.678024,6.209908,-13.028745,6.209908,-0.820565,0.546479,-0.167431,0.000000
23.764753,0.194011,0.652999,0.241205,-0.691211,6.205036,-13.038026,6.205036,-0.820228,0.547065,-0.167169,0.000000
24.484897,0.178693,0.650572,0.222718,-0.703720,6.200160,-13.047300,6.200160,-0.819891,0.547650,-0.166908,0.000000
25.205041,0.163227,0.647899,0.203938,-0.715537,6.195282,-13.056567,6.195282,-0.819553,0.548235,-0.166646,0.000000
25.925185,0.147619,0.644982,0.184884,-0.726653,6.190399,-13.065827,6.190399,-0.819216,0.548818,-0.166384,0.000000
26.645329,0.131877,0.641825,0.165579,-0.737057,6.185514,-13.075079,6.185514,-0.818878,0.549401,-0.166123,1.000000
27.365473,0.116008,0.638433,0.146046,-0.746737,6.180624,-13.084324,6.180624,-0.818544,0.549970,-0.165886,1.000000
28.085617,0.100025,0.634812,0.126310,-0.755681,6.175732,-13.093561,6.175732,-0.818212,0.550532,-0.165659,1.000000
28.805761,0.083934,0.630967,0.106396,-0.763882,6.170836,-13.102792,6.170836,-0.817880,0.551093,-0.165433,1.000000
29.525905,0.067747,0.626903,0.086326,-0.771331,6.165936,-13.112015,6.165936,-0.817548,0.551653,-0.165209,1.000000
30.246049,0.051472,0.622623,0.066124,-0.778022,6.161033,-13.121230,6.161033,-0.817216,0.552211,-0.164986,1.000000
30.966193,0.035121,0.618134,0.045815,-0.783951,6.156127,-13.130439,6.156127,-0.816884,0.552769,-0.164763,1.000000
31.686337,0.018701,0.613439,0.025420,-0.789111,6.151217,-13.139640,6.151217,-0.816552,0.553326,-0.164540,1.000000
32.406481,0.002226,0.608546,0.004965,-0.793500,6.146303,-13.148833,6.146303,-0.816220,0.553882,-0.164315,1.000000
