Altitude,Heat Capacity Ratio,Sound Speed
m,-,m/s
0,1.4,340.2941078
10,1.4,340.2557244
20,1.4,340.2173369
30,1.4,340.1789451
40,1.4,340.1405491
50,1.4,340.1021489
60,1.4,340.0637445
70,1.4,340.0253358
80,1.4,339.986923
90,1.4,339.9485059
100,1.4,339.9100846
110,1.4,339.8716591
120,1.4,339.8332293
130,1.4,339.7947954
140,1.4,339.7563572
150,1.4,339.7179147
160,1.4,339.6794681
170,1.4,339.6410172
180,1.4,339.6025621
190,1.4,339.5641027
200,1.4,339.5256391
210,1.4,339.4871713
220,1.4,339.4486993
230,1.4,339.410223
240,1.4,339.3717424
250,1.4,339.3332576
260,1.4,339.2947686
270,1.4,339.2562753
280,1.4,339.2177778
290,1.4,339.179276
300,1.4,339.14077
310,1.4,339.1022597
320,1.4,339.0637452
330,1.4,339.0252264
340,1.4,338.9867034
350,1.4,338.9481761
360,1.4,338.9096446
370,1.4,338.8711088
380,1.4,338.8325687
390,1.4,338.7940244
400,1.4,338.7554758
410,1.4,338.7169229
420,1.4,338.6783658
430,1.4,338.6398044
440,1.4,338.6012387
450,1.4,338.5626688
460,1.4,338.5240945
470,1.4,338.485516
480,1.4,338.4469333
490,1.4,338.4083462
500,1.4,338.3697549
510,1.4,338.3311593
520,1.4,338.2925594
530,1.4,338.2539553
540,1.4,338.2153468
550,1.4,338.1767341
560,1.4,338.138117
570,1.4,338.0994957
580,1.4,338.0608701
590,1.4,338.0222402
600,1.4,337.983606
610,1.4,337.9449675
620,1.4,337.9063248
630,1.4,337.8676777
640,1.4,337.8290263
650,1.4,337.7903706
660,1.4,337.7517106
670,1.4,337.7130463
680,1.4,337.6743777
690,1.4,337.6357048
700,1.4,337.5970276
710,1.4,337.5583461
720,1.4,337.5196603
730,1.4,337.4809701
740,1.4,337.4422757
750,1.4,337.4035769
760,1.4,337.3648738
770,1.4,337.3261664
780,1.4,337.2874547
790,1.4,337.2487386
800,1.4,337.2100182
810,1.4,337.1712935
820,1.4,337.1325645
830,1.4,337.0938311
840,1.4,337.0550935
850,1.4,337.0163514
860,1.4,336.9776051
870,1.4,336.9388544
880,1.4,336.9000994
890,1.4,336.86134
900,1.4,336.8225764
910,1.4,336.7838083
920,1.4,336.7450359
930,1.4,336.7062592
940,1.4,336.6674782
950,1.4,336.6286928
960,1.4,336.589903
970,1.4,336.5511089
980,1.4,336.5123105
990,1.4,336.4735077
1000,1.4,336.4347005
1010,1.4,336.395889
1020,1.4,336.3570731
1030,1.4,336.3182529
1040,1.4,336.2794283
1050,1.4,336.2405994
1060,1.4,336.2017661
1070,1.4,336.1629284
1080,1.4,336.1240864
1090,1.4,336.08524
1100,1.4,336.0463892
1110,1.4,336.007534
1120,1.4,335.9686745
1130,1.4,335.9298106
1140,1.4,335.8909424
1150,1.4,335.8520697
1160,1.4,335.8131927
1170,1.4,335.7743113
1180,1.4,335.7354256
1190,1.4,335.6965354
1200,1.4,335.6576409
1210,1.4,335.6187419
1220,1.4,335.5798386
1230,1.4,335.5409309
1240,1.4,335.5020188
1250,1.4,335.4631024
1260,1.4,335.4241815
1270,1.4,335.3852562
1280,1.4,335.3463266
1290,1.4,335.3073925
1300,1.4,335.2684541
1310,1.4,335.2295112
1320,1.4,335.1905639
1330,1.4,335.1516123
1340,1.4,335.1126562
1350,1.4,335.0736957
1360,1.4,335.0347308
1370,1.4,334.9957615
1380,1.4,334.9567878
1390,1.4,334.9178097
1400,1.4,334.8788272
1410,1.4,334.8398402
1420,1.4,334.8008489
1430,1.4,334.7618531
1440,1.4,334.7228529
1450,1.4,334.6838483
1460,1.4,334.6448392
1470,1.4,334.6058257
1480,1.4,334.5668078
1490,1.4,334.5277855
1500,1.4,334.4887588
1510,1.4,334.4497276
1520,1.4,334.4106919
1530,1.4,334.3716519
1540,1.4,334.3326074
1550,1.4,334.2935585
1560,1.4,334.2545051
1570,1.4,334.2154473
1580,1.4,334.176385
1590,1.4,334.1373183
1600,1.4,334.0982472
1610,1.4,334.0591716
1620,1.4,334.0200916
1630,1.4,333.9810071
1640,1.4,333.9419182
1650,1.4,333.9028248
1660,1.4,333.8637269
1670,1.4,333.8246246
1680,1.4,333.7855179
1690,1.4,333.7464066
1700,1.4,333.707291
1710,1.4,333.6681708
1720,1.4,333.6290462
1730,1.4,333.5899171
1740,1.4,333.5507836
1750,1.4,333.5116456
1760,1.4,333.4725031
1770,1.4,333.4333562
1780,1.4,333.3942047
1790,1.4,333.3550488
1800,1.4,333.3158885
1810,1.4,333.2767236
1820,1.4,333.2375543
1830,1.4,333.1983805
1840,1.4,333.1592022
1850,1.4,333.1200194
1860,1.4,333.0808321
1870,1.4,333.0416404
1880,1.4,333.0024441
1890,1.4,332.9632434
1900,1.4,332.9240382
1910,1.4,332.8848284
1920,1.4,332.8456142
1930,1.4,332.8063955
1940,1.4,332.7671723
1950,1.4,332.7279446
1960,1.4,332.6887124
1970,1.4,332.6494757
1980,1.4,332.6102344
1990,1.4,332.5709887
2000,1.4,332.5317385
2010,1.4,332.4924837
2020,1.4,332.4532245
2030,1.4,332.4139607
2040,1.4,332.3746924
2050,1.4,332.3354196
2060,1.4,332.2961423
2070,1.4,332.2568604
2080,1.4,332.2175741
2090,1.4,332.1782832
2100,1.4,332.1389878
2110,1.4,332.0996878
2120,1.4,332.0603834
2130,1.4,332.0210744
2140,1.4,331.9817608
2150,1.4,331.9424428
2160,1.4,331.9031202
2170,1.4,331.8637931
2180,1.4,331.8244614
2190,1.4,331.7851252
2200,1.4,331.7457845
2210,1.4,331.7064392
2220,1.4,331.6670893
2230,1.4,331.627735
2240,1.4,331.588376
2250,1.4,331.5490126
2260,1.4,331.5096446
2270,1.4,331.470272
2280,1.4,331.4308949
2290,1.4,331.3915132
2300,1.4,331.3521269
2310,1.4,331.3127361
2320,1.4,331.2733408
2330,1.4,331.2339409
2340,1.4,331.1945364
2350,1.4,331.1551273
2360,1.4,331.1157137
2370,1.4,331.0762956
2380,1.4,331.0368728
2390,1.4,330.9974455
2400,1.4,330.9580136
2410,1.4,330.9185771
2420,1.4,330.8791361
2430,1.4,330.8396905
2440,1.4,330.8002403
2450,1.4,330.7607855
2460,1.4,330.7213261
2470,1.4,330.6818622
2480,1.4,330.6423936
2490,1.4,330.6029205
2500,1.4,330.5634428
2510,1.4,330.5239605
2520,1.4,330.4844736
2530,1.4,330.4449821
2540,1.4,330.405486
2550,1.4,330.3659853
2560,1.4,330.32648
2570,1.4,330.2869701
2580,1.4,330.2474557
2590,1.4,330.2079366
2600,1.4,330.1684129
2610,1.4,330.1288846
2620,1.4,330.0893517
2630,1.4,330.0498141
2640,1.4,330.010272
2650,1.4,329.9707252
2660,1.4,329.9311739
2670,1.4,329.8916179
2680,1.4,329.8520573
2690,1.4,329.8124921
2700,1.4,329.7729222
2710,1.4,329.7333477
2720,1.4,329.6937686
2730,1.4,329.6541849
2740,1.4,329.6145966
2750,1.4,329.5750036
2760,1.4,329.535406
2770,1.4,329.4958037
2780,1.4,329.4561968
2790,1.4,329.4165853
2800,1.4,329.3769691
2810,1.4,329.3373483
2820,1.4,329.2977229
2830,1.4,329.2580928
2840,1.4,329.218458
2850,1.4,329.1788187
2860,1.4,329.1391746
2870,1.4,329.0995259
2880,1.4,329.0598726
2890,1.4,329.0202146
2900,1.4,328.980552
2910,1.4,328.9408846
2920,1.4,328.9012127
2930,1.4,328.8615361
2940,1.4,328.8218548
2950,1.4,328.7821688
2960,1.4,328.7424782
2970,1.4,328.7027829
